Year,keyword_category,matched_segments,substantive_adoption,fp_rate_vs_substantive,not_genai_related,strict_non_genai_rate
2015,product_or_vendor,6,0,1.0,0,0.0
2015,technology_term,12,0,1.0,0,0.0
2016,product_or_vendor,2,0,1.0,0,0.0
2016,technology_term,23,0,1.0,0,0.0
2017,product_or_vendor,1,0,1.0,0,0.0
2017,technology_term,24,0,1.0,0,0.0
2018,product_or_vendor,1,0,1.0,0,0.0
2018,technology_term,9,0,1.0,0,0.0
2019,product_or_vendor,1,0,1.0,0,0.0
2019,technology_term,18,0,1.0,0,0.0
2020,product_or_vendor,3,0,1.0,0,0.0
2020,technology_term,14,0,1.0,0,0.0
2021,product_or_vendor,4,0,1.0,0,0.0
2021,technology_term,36,0,1.0,0,0.0
2022,core_concept,26,15,0.4231,0,0.0
2022,product_or_vendor,46,8,0.8261,0,0.0
2022,technology_term,88,20,0.7727,0,0.0
2023,core_concept,67,31,0.5373,0,0.0
2023,product_or_vendor,46,13,0.7174,0,0.0
2023,technology_term,268,103,0.6157,0,0.0
2024,core_concept,25,9,0.64,0,0.0
2024,product_or_vendor,98,34,0.6531,0,0.0
2024,technology_term,578,311,0.4619,0,0.0
