term,category,n_segments,n_occurrences,substantive_adoption,generic_or_background,unclear_or_disagreement,fp_rate_vs_substantive,pre2022_share_of_segments
大模型,technology_term,654,922,371,188,95,0.3363148479427549,0.0
GAN,technology_term,131,158,0,0,131,,0.3969465648854962
AIGC,core_concept,91,106,46,33,12,0.4177215189873418,0.0
智能体,technology_term,74,83,29,11,34,0.275,0.04054054054054054
多模态大模型,technology_term,58,72,33,15,10,0.3125,0.0
DEEPSEEK,product_or_vendor,56,66,30,24,2,0.4444444444444444,0.0
LORA,technology_term,47,48,0,2,45,1.0,0.425531914893617
CHATGPT,product_or_vendor,46,46,4,38,4,0.9047619047619048,0.0
LLM,technology_term,43,45,11,8,24,0.42105263157894735,0.3953488372093023
GPT,product_or_vendor,40,49,12,16,12,0.5714285714285714,0.0
RAG,technology_term,37,39,4,0,33,0.0,0.5405405405405406
可灵,product_or_vendor,30,30,0,0,30,,0.3
大语言模型,technology_term,30,40,23,2,5,0.08,0.0
COT,technology_term,27,30,0,0,27,,0.6666666666666666
生成式人工智能,core_concept,26,27,7,17,2,0.7083333333333334,0.0
TRANSFORMER,technology_term,24,25,14,2,8,0.125,0.041666666666666664
OPENAI,product_or_vendor,16,16,0,16,0,1.0,0.0
海螺,product_or_vendor,13,16,0,0,13,,0.5384615384615384
预训练模型,technology_term,11,11,2,1,8,0.3333333333333333,0.09090909090909091
SORA,product_or_vendor,10,11,0,10,0,1.0,0.0
通义千问,product_or_vendor,8,8,6,2,0,0.25,0.0
盘古大模型,product_or_vendor,8,8,5,2,1,0.2857142857142857,0.0
深度合成,technology_term,6,8,5,1,0,0.16666666666666666,0.0
文心一言,product_or_vendor,6,6,2,3,1,0.6,0.0
LLAMA,product_or_vendor,6,6,6,0,0,0.0,0.0
扩散模型,technology_term,5,5,3,0,2,0.0,0.0
VAE,technology_term,5,6,0,0,5,,0.2
MOE,technology_term,4,4,0,0,4,,0.5
GEMINI,product_or_vendor,4,4,0,4,0,1.0,0.0
生成式AI,core_concept,4,4,2,2,0,0.5,0.0
AI AGENT,technology_term,4,5,2,1,1,0.3333333333333333,0.0
QWEN,product_or_vendor,4,4,2,1,1,0.3333333333333333,0.0
指令微调,technology_term,3,3,2,0,1,0.0,0.0
PROMPT,technology_term,3,3,3,0,0,0.0,0.0
幻方量化,product_or_vendor,3,3,0,0,3,,0.0
RLHF,technology_term,3,3,3,0,0,0.0,0.0
PALM,product_or_vendor,3,3,0,2,1,1.0,0.0
百川智能,product_or_vendor,3,3,3,0,0,0.0,0.0
PIKA,product_or_vendor,3,3,0,3,0,1.0,0.0
华为盘古,product_or_vendor,2,2,1,0,1,0.0,0.0
豆包,product_or_vendor,2,2,0,2,0,1.0,0.0
思维链,technology_term,2,3,0,2,0,1.0,0.0
MISTRAL,product_or_vendor,2,2,0,0,2,,1.0
CHATGLM,product_or_vendor,2,2,2,0,0,0.0,0.0
SFT,technology_term,2,2,1,0,1,0.0,0.5
CLAUDE,product_or_vendor,2,2,0,2,0,1.0,0.0
GENAI,core_concept,1,1,1,0,0,0.0,0.0
混元大模型,product_or_vendor,1,1,0,0,1,,0.0
向量数据库,technology_term,1,1,0,1,0,1.0,0.0
人工智能基础模型,technology_term,1,1,0,0,1,,0.0
VIDU,product_or_vendor,1,1,0,0,1,,0.0
COPILOT,product_or_vendor,1,1,0,1,0,1.0,0.0
GENERATIVE AI,core_concept,1,1,0,1,0,1.0,0.0
ERNIE,product_or_vendor,1,1,0,0,1,,0.0
提示词,technology_term,1,2,1,0,0,0.0,0.0
DIFFUSION,technology_term,1,1,0,0,1,,0.0
BAICHUAN,product_or_vendor,1,1,1,0,0,0.0,0.0
深度求索,product_or_vendor,1,1,0,1,0,1.0,0.0
DOUBAO,product_or_vendor,1,1,1,0,0,0.0,0.0
