relative_path,category,public_status,note
README.md,doc,public,Top-level package overview
DATA_AVAILABILITY.md,doc,public,Public versus restricted data boundary
GITHUB_UPLOAD_STEPS.md,doc,public,Step-by-step GitHub upload instructions
RUN_INSTRUCTIONS.md,doc,public,How to use the package and re-extract frozen exhibits
REPRO_STATUS.md,doc,public,Current reproduction status statement
requirements.txt,code,public,Minimal dependency list
code/README.md,doc,public,Code folder note
code/extract_docx_exhibits.py,code,public,Portable utility for extracting frozen exhibits from a docx
data/README.md,doc,public,Data folder note
data/public/04_genai_dictionary.xlsx,data,public,Public GenAI dictionary workbook
data/restricted_placeholder/README.md,doc,public,Placeholder explaining omitted restricted layers
output/README.md,doc,public,Output folder note
output/tables/TABLE_INDEX.csv,output,public,Index of exported frozen tables
output/tables/table_01_sample_construction_procedure.csv,output,public,Frozen Table 1
output/tables/table_02_variable_definition_and_calculation.csv,output,public,Frozen Table 2
output/tables/table_03_genai_dictionary_keyword_classification.csv,output,public,Frozen Table 3
output/tables/table_04_descriptive_statistics_of_key_variables.csv,output,public,Frozen Table 4
output/tables/table_05_baseline_regression_results.csv,output,public,Frozen Table 5
output/tables/table_06_summary_of_robustness_tests.csv,output,public,Frozen Table 6
output/tables/table_07_candidate_channel_inventory_turnover.csv,output,public,Frozen Table 7
output/tables/table_08_heterogeneity_analysis.csv,output,public,Frozen Table 8
output/tables/appendix_a2_correlation_matrix.csv,output,public,Frozen appendix correlation matrix
output/tables/appendix_full_dictionary.csv,output,public,Frozen full dictionary appendix
output/figures/FIGURE_INDEX.csv,output,public,Index of exported frozen figures
output/figures/figure_01_genai_adoption_rate.png,output,public,Frozen Figure 1
output/figures/figure_02_theoretical_framework.png,output,public,Frozen Figure 2
output/figures/figure_03_rd_moderation.png,output,public,Frozen Figure 3
output/figures/figure_04_power_pressure_moderation.png,output,public,Frozen Figure 4
output/figures/figure_05_placebo_distribution.png,output,public,Frozen Figure 5
output/figures/figure_06_event_study.png,output,public,Frozen Figure 6
output/figures/figure_07_psm_balance.png,output,public,Frozen Figure 7
output/figures/figure_08_inventory_turnover_path.png,output,public,Frozen Figure 8
output/figures/figure_09_heterogeneity_forest_plot.png,output,public,Frozen Figure 9
paper/README.md,doc,public,Paper folder note
paper/attachments/table_x_genai_dictionary_keywords.docx,paper,public,Public dictionary classification attachment
paper/attachments/appendix_full_genai_dictionary.docx,paper,public,Public full dictionary attachment
docs/README.md,doc,public,Documentation folder note
docs/EXHIBIT_MAP.md,doc,public,Map from manuscript exhibits to included files
docs/LOCAL_ONLY_ITEMS.md,doc,public,Items intentionally kept out of the public package
