变量类别,变量名,定义与计算,数据来源
被解释变量,Focal_ROA,焦点企业净利润 / 总资产,CSMAR 利润表/资产负债表
核心解释变量,Focal_GenAI_Index,ln(1 + MD&A 中 GenAI 关键词非重叠频次),CSMAR/CNRDS 年报文本
调节变量,Focal_RnD_Ratio,焦点企业 R&D 支出 / 营业收入,CSMAR 利润表
调节变量,Power_Pressure,Supplier_Dominance × Partner_Ahead,计算构建
控制变量,Focal_Size,ln(焦点企业总资产，百万元),CSMAR 资产负债表
控制变量,Focal_Lev,焦点企业总负债 / 总资产,CSMAR 资产负债表
控制变量,Focal_Age,观测年份 − 成立年份 + 1,CSMAR 基本信息表
控制变量,Focal_CashFlow,经营活动净现金流 / 总资产,CSMAR 现金流量表
控制变量,Focal_SoE,国有属性虚拟变量（国有=1）,CSMAR 所有权性质表
控制变量,Focal_HHI,二位数行业赫芬达尔指数,CSMAR 行业集中度表
控制变量,Partner_Size,ln(合作方总资产，百万元),CSMAR 资产负债表
控制变量,Partner_Lev,合作方总负债 / 总资产,CSMAR 资产负债表
控制变量,Partner_ROA,合作方净利润 / 总资产,CSMAR 利润表/资产负债表
扩展控制变量,Focal_Growth,焦点企业营业收入增长率（仅在扩展规范中纳入）,CSMAR 利润表
