变量,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1. Focal_ROA,1.000,,,,,,,,,,,,,
2. Focal_GenAI_Index,-0.171***,1.000,,,,,,,,,,,,
3. Focal_RnD_Ratio,-0.303***,0.380***,1.000,,,,,,,,,,,
4. Power_Pressure,-0.056*,0.047,0.059*,1.000,,,,,,,,,,
5. Focal_Size,0.059*,-0.052*,-0.199***,-0.142***,1.000,,,,,,,,,
6. Focal_Lev,-0.219***,-0.090***,-0.282***,-0.111***,0.582***,1.000,,,,,,,,
7. Focal_Age,0.032,0.002,-0.116***,0.028,0.237***,0.181***,1.000,,,,,,,
8. Focal_CashFlow,0.416***,-0.087***,-0.237***,-0.057*,0.121***,-0.013,0.044,1.000,,,,,,
9. Focal_SoE,0.027,-0.081***,-0.212***,-0.126***,0.469***,0.418***,0.319***,0.077**,1.000,,,,,
10. Focal_HHI,-0.017,-0.036,-0.101***,-0.034,0.273***,0.226***,0.019,0.033,0.059*,1.000,,,,
11. Partner_Size,0.001,-0.035,-0.159***,0.130***,0.360***,0.265***,0.162***,0.056*,0.207***,0.148***,1.000,,,
12. Partner_Lev,-0.015,-0.071**,-0.241***,-0.010,0.288***,0.326***,0.102***,-0.008,0.242***,0.137***,0.362***,1.000,,
13. Partner_ROA,0.074**,-0.072**,0.008,0.046,-0.017,-0.083***,0.108***,-0.004,-0.054*,-0.075**,-0.015,-0.404***,1.000,
14. Focal_Growth,0.109***,-0.083***,-0.047,0.005,-0.003,0.005,-0.014,-0.059*,-0.032,0.043,-0.018,0.045,0.011,1.000
