Variable,N,Mean,Standard Deviation,P25,P50,P75
Focal_ROA,"1,017",0.025,0.054,0.010,0.030,0.053
Focal_GenAI_Index,"1,017",0.145,0.447,0.000,0.000,0.000
Focal_RnD_Ratio,"1,017",0.036,0.080,0.000,0.010,0.044
Power_Pressure,"1,017",0.234,1.059,0.000,0.000,0.000
Focal_Size,"1,017",8.662,1.411,7.637,8.384,9.475
Focal_Lev,"1,017",0.440,0.199,0.278,0.431,0.592
Focal_Age,"1,017",21.56,6.37,17.00,21.00,26.00
Focal_CashFlow,"1,017",0.045,0.062,0.014,0.047,0.078
Focal_SoE,"1,017",0.452,0.498,0.000,0.000,1.000
Focal_HHI,"1,017",0.154,0.053,0.124,0.144,0.154
Partner_Size,"1,017",9.903,1.841,8.585,9.648,10.885
Partner_Lev,"1,017",0.486,0.185,0.365,0.490,0.630
Partner_ROA,"1,017",0.045,0.057,0.016,0.042,0.074
